lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
ATUH-KGAR-JVIL-TWAL-ACOV,Interval 3,3,3.69,2.72,88.24,162.6,6
EVIL-CABR-DMEN-TWAL-CKPE,Interval 3,3,2.96,2.12,37.74,67.45,2
EVIL-ATUH-JVIL-DMEN-CKPE,Interval 3,3,7.3,3.63,-66.12,-82.19,-6
EVIL-ATUH-KGAR-DMEN-TWAL,Interval 3,3,8.16,5.78,48.44,85.78,7
ATUH-KGAR-CABR-JVIL-TWAL,Interval 3,3,4.13,2.55,31.37,48.43,2
ATUH-KGAR-MALS-DMEN-CKPE,Interval 3,3,13.5,8.03,69.74,103.74,14
EVIL-ATUH-KGAR-JVIL-TWAL,Interval 3,3,4.46,2.45,81.63,112.03,5
EVIL-ATUH-JVIL-DMEN-TWAL,Interval 3,3,101.47,59.93,18.69,27.59,28
ATUH-KGAR-CABR-DMEN-CKPE,Interval 3,3,4.0,2.55,94.12,150.0,6
EVIL-CABR-JVIL-DMEN-ACOV,Interval 3,3,5.22,3.5,57.14,95.69,5
EVIL-ATUH-KGAR-JVIL-ACOV,Interval 3,3,6.86,4.52,88.5,145.67,10
EVIL-KGAR-JVIL-DMEN-TWAL,Interval 3,3,12.05,8.14,14.74,24.89,3
EVIL-KGAR-MALS-CABR-CKPE,Interval 4,4,4.96,2.62,30.53,40.28,2
JCHI-ADAR-KGAR-MALS-CKPE,Interval 4,4,4.0,2.46,-81.3,-125.0,-5
JCHI-ATUH-ADAR-DMEN-TWAL,Interval 4,4,0.9,0.35,-228.57,-222.22,-2
ATUH-KGAR-CABR-DMEN-CKPE,Interval 4,4,1.43,0.63,63.49,69.78,1
EVIL-ATUH-KGAR-CABR-JVIL,Interval 4,4,0.5,0.18,0.0,0.0,0
